"","money"
"946","A developer says its Edgewater, N.J., project was blocked because local officials have been bought off with sweetheart leases and cash payments."
"947","The city of Zibo, China's ceramics capital, is undergoing environmental shock therapy to clear its filthy skies and transform its economy - and not everyone is happy."
"948","As the trial detailing widespread corruption in world soccer enters a fourth week, prosecutors are close to concluding their case in a Brooklyn federal courthouse."
"949","In an American West that has a love-hate relationship with the federal government's ownership of a checkerboard of parks, monuments, forest and desert in states from Washington to New Mexico, Utah stands out."
"950","Shale oil engineer Oscar Portillo spends his days drilling as many as five wells at once - without ever setting foot on a rig."
"951","The Republican effort to undo the requirement that people get insured would unleash sales of cheaper policies offering little coverage."
"952","The government fears that political activism online hurts the state, but regulating internet content will hurt it even more."
"953","When U.S. entrepreneur Bharath Rao looked around for the best place to raise money for his crypto-currency derivatives trading business, the United States did not make his list. Instead he chose the East African island nation Seychelles to sell th..."
"954","Even as the United States spends billions of dollars along the Mexican border, traffickers are exploiting weaknesses elsewhere, shipping parcels by mail, by air and on Amtrak."
"955","ArcelorMittal's bid to buy Italian steel major Ilva may have hit serious snags, but the European Union's steel sector is set to benefit in the short term whether or not there is a deal."
"956","Gus Malzahn faced fresh questions about his future after Auburn's bid to make the playoffs skidded to a halt."
"957","Three senior managers in Uber Technologies Inc's security unit resigned on Friday, an Uber spokesperson said, days after the company's new chief executive officer disclosed a massive data breach and criticized past security practices."
"958","Midway Beach, a small oceanfront community on the New Jersey shore, was barely impacted by Superstorm Sandy, due largely to the large sand dunes its nearly 400 homeowners built and maintained over the decades."
"959","A commission that oversees water quality for the watershed that supplies Philadelphia and half of New York City with drinking water took another step Thursday toward permanently banning natural gas drilling and hydraulic fracturing, despite indust..."
"960","General Motors Co. expects to carry passengers and deliver goods with self-driving vehicles in big cities sometime in 2019, telling investors it's moving quickly and plans to be ahead of other automakers and tech companies."
"961","Norwegian aluminium producer Norsk Hydro launched a low-carbon brand on Thursday and predicted that customers ranging from carmakers to packaging firms will pay a premium to help slow climate change."
"962","Alibaba Group Holding Ltd's newly minted bonds rallied on Thursday after the Chinese internet firm's $7 billion multi-tranche sale attracted a blow-out response and set a precedent for rival companies to follow, analysts said."
